seqnames	start	end	width	strand
NORAD	761	768	8	*
NORAD	1140	1147	8	*
NORAD	1241	1248	8	*
NORAD	1442	1449	8	*
NORAD	1451	1458	8	*
NORAD	1825	1832	8	*
NORAD	2039	2046	8	*
NORAD	2466	2473	8	*
NORAD	2639	2646	8	*
NORAD	2648	2655	8	*
NORAD	2972	2979	8	*
NORAD	3275	3282	8	*
NORAD	3284	3291	8	*
NORAD	3593	3600	8	*
NORAD	4599	4606	8	*
LNPEP	4849	4856	8	*
LNPEP	7352	7359	8	*
LNPEP	7974	7981	8	*
LNPEP	8198	8205	8	*
LNPEP	8431	8438	8	*
LNPEP	8642	8649	8	*
LNPEP	8861	8868	8	*
LNPEP	9089	9096	8	*
LNPEP	9336	9343	8	*
LNPEP	9599	9606	8	*
LNPEP	9801	9808	8	*
LNPEP	9854	9861	8	*
LNPEP	9923	9930	8	*
LNPEP	10106	10113	8	*
LNPEP	11912	11919	8	*
LNPEP	12204	12211	8	*
PUM1	3935	3942	8	*
PUM2	3886	3893	8	*
PUM2	4146	4153	8	*
PIM1	2518	2525	8	*
TAOK1	3456	3463	8	*
TAOK1	4825	4832	8	*
TAOK1	6876	6883	8	*
TAOK1	6885	6892	8	*
TAOK1	8595	8602	8	*
TAOK1	8888	8895	8	*
TAOK1	10450	10457	8	*
PRKDC	10857	10864	8	*
VAPA	6820	6827	8	*
RNF220	2262	2269	8	*
RNF220	2289	2296	8	*
RBM27	5358	5365	8	*
NR3C1	3507	3514	8	*
NR3C1	4863	4870	8	*
MARCHF6	3146	3153	8	*
MARCHF6	7008	7015	8	*
MARCHF6	7469	7476	8	*
MORC3	3220	3227	8	*
MORC3	3996	4003	8	*
BUB3	855	862	8	*
BUB3	1382	1389	8	*
BUB3	5039	5046	8	*
CKS2	385	392	8	*
MRPS18B	1309	1316	8	*
EIF1AD	2836	2851	16	*
EIF1AD	2880	2887	8	*
SDAD1	2444	2451	8	*
SDAD1	2623	2630	8	*
SDAD1	2769	2776	8	*
