chrom	start	end	width	strand	fc	negLog10pval	gene_id	gene_name	mRNA_start	mRNA_end
chr1	30931605	30931624	19	-	6.75845097923289	400	NM_001020658	PUM1	5266	5285
chr1	30931624	30931656	32	-	6.64799651415233	400	NM_001020658	PUM1	5234	5266
chr1	30931657	30931710	53	-	5.91234066397905	400	NM_001020658	PUM1	5180	5233
chr1	30931576	30931605	29	-	5.88241473595468	400	NM_001020658	PUM1	5285	5314
chr1	30931537	30931565	28	-	5.44682436528493	58.0645783923459	NM_001020658	PUM1	5325	5353
chr1	30931710	30931752	42	-	5.23634828118901	400	NM_001020658	PUM1	5138	5180
chr1	30932867	30932896	29	-	5.68552554600116	38.8051813423674	NM_001020658	PUM1	3994	4023
chr1	30931752	30931798	46	-	6.18651970542739	400	NM_001020658	PUM1	5092	5138
chr1	30931798	30931828	30	-	5.32831165373277	400	NM_001020658	PUM1	5062	5092
chr1	30932052	30932090	38	-	5.18015287686013	44.9848498967705	NM_001020658	PUM1	4800	4838
chr1	30932242	30932313	71	-	6.26846434357472	400	NM_001020658	PUM1	4577	4648
chr1	30932169	30932242	73	-	5.72770245461675	400	NM_001020658	PUM1	4648	4721
chr1	30932104	30932134	30	-	4.93140304712472	38.0225507726177	NM_001020658	PUM1	4756	4786
chr1	30932904	30933000	96	-	5.39659623050091	400	NM_001020658	PUM1	3890	3986
chr1	30932330	30932372	42	-	5.52456149855748	82.3781489044557	NM_001020658	PUM1	4518	4560
chr11	65996552	65996595	43	-	6.97287262863482	9.1768322978628	NM_001242481	EIF1AD	2865	2908
chr11	65996778	65996816	38	-	4.08630302527498	5.22642805001851	NM_001242481	EIF1AD	2644	2682
chr11	65996611	65996666	55	-	5.16230457199751	6.04140936238653	NM_001242481	EIF1AD	2794	2849
chr4	75950244	75950273	29	-	6.82720274110786	10.1572491385874	NM_001288984	SDAD1	2736	2765
chr4	75950191	75950244	53	-	6.74072138506751	36.7300424818017	NM_001288984	SDAD1	2765	2818
chr4	75950536	75950572	36	-	6.24726707271867	7.22734309157575	NM_001288984	SDAD1	2437	2473
chr1	44651238	44651292	54	+	4.00716381583921	42.7334625697657	NM_001319956	RNF220	2648	2702
chr1	44635575	44635588	13	+	4.08630302527498	6.89892068589922	NM_001319956	RNF220	1464	1477
chr1	44651369	44651424	55	+	6.38260940537172	400	NM_001319956	RNF220	2779	2834
chr1	44651331	44651369	38	+	4.52640088974653	12.452320653019	NM_001319956	RNF220	2741	2779
