gene_name	mRNA_size	gc	encodePeakNum	tileNum	refGeneID	chrom	start	end	strand	pre.num	pre.width	pre.mm.num	pre.mm.width
NORAD	5343	0.415309751076174	29	68	NR_027451	chr20	36045617	36050960	-	15	120	31	275
LNPEP	12477	0.663157894736842	24	159	NM_175920	chr5	96958432	97037512	+	16	128	61	536
PUM1	5385	0.607843137254902	15	69	NM_001020658	chr1	30931505	31065717	-	1	8	20	187
PUM2	6667	0.772151898734177	13	85	NM_015317	chr2	20248712	20350844	-	2	16	31	252
PIM1	2703	0.739130434782609	12	34	NM_002648	chr6	37170151	37175428	+	1	8	3	26
TAOK1	12081	0.72	11	154	NM_020791	chr17	29390924	29551903	+	7	56	43	362
PRKDC	13509	0.744075829383886	10	173	NM_006904	chr8	47773107	47960183	-	1	8	10	82
VAPA	6936	0.709375	10	88	NM_003574	chr18	9914015	9960021	+	1	8	16	128
RNF220	3355	0.626666666666667	9	42	NM_001319956	chr1	44405159	44651724	+	2	16	7	58
HNRNPA2B1	3664	0.634285714285714	9	46	NM_031243	chr7	26189926	26200746	-	0	0	10	82
RBM27	6535	0.645454545454546	9	83	NM_018989	chr5	146203604	146289221	+	1	8	19	154
NR3C1	10618	0.721115537848606	9	136	NM_001364183	chr5	143277933	143434809	-	2	16	17	138
MARCHF6	9641	0.708520179372197	8	123	NM_005885	chr5	10353694	10440388	+	3	24	26	270
MORC3	4332	0.695652173913043	8	55	NM_001320446	chr21	36320188	36376646	+	2	16	12	98
BUB3	7861	0.642857142857143	8	100	NM_004725	chr10	123154401	123170467	+	3	24	22	176
MCM10	4552	0.591836734693878	1	58	NM_182751	chr10	13161557	13211110	+	0	0	6	52
TCEAL9	1028	0.574257425742574	1	13	NM_016303	chrX	103356505	103358462	+	0	0	5	40
CKS2	616	0.573248407643312	2	7	NM_001827	chr9	89311194	89316703	+	1	8	2	24
MRPS18B	1398	0.581632653061224	2	17	NM_014046	chr6	30617839	30626392	+	1	8	3	24
EIF1AD	2916	0.584745762711864	3	37	NM_001242481	chr11	65996544	66002157	-	2	24	6	64
IER5	4201	0.497738633658653	2	53	NM_016545	chr1	181088699	181092900	+	0	0	12	98
SDAD1	3104	0.54639175257732	3	39	NM_001288984	chr4	75949905	75990962	-	3	24	7	56
TUBA1B	1625	0.582959641255605	3	20	NM_006082	chr12	49127783	49131395	-	0	0	1	8
